1000 16.9740
1500 18.2853
2000 18.9640
2500 19.7336
3000 20.2780
3500 20.6669
4000 20.9585
4500 21.3653
5000 21.7288
5500 22.0262
6000 22.2740
6500 22.4837
7000 22.6634
7500 22.8192
8000 22.9555
8500 23.1485
9000 23.3624
9500 23.5539
10000 23.7262
10500 23.8821
11000 24.0238
11500 24.1532
12000 24.2718
12500 24.3810
13000 24.4817
13500 24.5750
14000 24.6616
14500 24.7422
15000 24.8175
15500 24.8879
16000 24.9539
16500 25.0301
17000 25.1468
17500 25.2569
18000 25.3609
18500 25.4592
19000 25.5524
19500 25.6408
20000 25.7248
20500 25.8047
21000 25.8808
21500 25.9533
22000 26.0225
22500 26.0887
23000 26.1520
23500 26.2126
24000 26.2707
24500 26.3264
25000 26.3798
25500 26.4312
26000 26.4806
26500 26.5282
27000 26.5739
27500 26.6180
28000 26.6606
28500 26.7016
29000 26.7412
29500 26.7795
30000 26.8165
30500 26.8523
31000 26.8870
31500 26.9205
32000 26.9530
32500 26.9845
33000 27.0292
33500 27.0884
34000 27.1459
34500 27.2018
35000 27.2561
35500 27.3088
36000 27.3601
36500 27.4099
37000 27.4584
37500 27.5057
38000 27.5516
38500 27.5964
39000 27.6401
39500 27.6826
40000 27.7240
40500 27.7645
41000 27.8040
41500 27.8425
42000 27.8800
42500 27.9168
43000 27.9526
43500 27.9876
44000 28.0219
44500 28.0553
45000 28.0880
45500 28.1200
46000 28.1513
46500 28.1820
47000 28.2120
47500 28.2413
48000 28.2700
48500 28.2982
49000 28.3258
49500 28.3528
50000 28.3792
