1000 1
1500 1
2000 1
2500 1
3000 1
3500 1
4000 1
4500 19
5000 1
5500 1
6000 1
6500 31
7000 10
7500 1
8000 86
8500 98
9000 1
9500 37
10000 1
10500 1
11000 1
11500 1
12000 1
12500 1
13000 1
13500 1
14000 32
14500 154
15000 56
15500 1
16000 46
16500 1
17000 1
17500 1
18000 1
18500 1
19000 1
19500 1
20000 102
20500 1
21000 1
21500 1
22000 78
22500 1
23000 1
23500 14
24000 1
24500 1
25000 1
25500 1
26000 1
26500 1
27000 1
27500 1
28000 1
28500 106
29000 1
29500 1
30000 1
30500 1
31000 1
31500 296
32000 167
32500 1
33000 1
33500 1
34000 27
34500 89
35000 1
35500 1
36000 1
36500 1
37000 289
37500 1
38000 44
38500 1
39000 1
39500 1
40000 1
40500 177
41000 106
41500 1
42000 1
42500 1
43000 1
43500 1
44000 37
44500 219
45000 56
45500 1
46000 1
46500 132
47000 1
47500 56
48000 1
48500 1
49000 1
49500 1
50000 1
